subject_ID,bonus
58945874b5496d00018cfe1c,0.2
595bd5c85ae9a80001ce3426,1
5974ce5364b35a00019dd811,0.3
5ad63c167f70c10001904bc5,0.4
5bcae4e85c2b810001dc2466,0.2
5d6e3252dfe6d10001dbe508,1
5de00d05988d7c0877eaa15a,1
5e8783b0fde5153fbd9dca43,1
5e92178e8ee4fe54b65b7c39,1
5ea9ac27abf6101099ff0360,1
5f0c5a561cecb606cd7987b0,0.5
5f5aa6d5b8e6411a69e274d5,1
5f6214a59413141f7cb2508c,0.8
5f849754ea2ed01191da741f,1
5f9aba6600cdf11f1c9b915c,1
5fdf808af53c7a7e9199b430,1
604b169fe4b7991ec08da3a6,0.5
606b7b86415d18984a8f6dc1,0.6
608c349d8e7f57e8f84d3a27,0.9
609bfd97a7c95881330491d4,0.6
60b6c415dbda3236ea22455a,1
60b8db5feb283b86cce8de9f,0.5
60be9461f162e71cab759c78,0.8
60e83b7fc37f7865d5ec3756,0.8
60ec51c51a3158a50ded8a3e,0.9
60fc39cce64c39328a7c8904,1
60fd425228a705aeec26c55c,1
6107207614dc21c9a0cfb932,1
614b55e22ff3944a165736bb,1
615edbdae7feeb515b7f2a79,1
6166e78051425fa22de68491,0.5
616fd2048c982b1d27653870,0.7
6176966806de000024ed0ddf,1
62e15ab08c4aa96b86650a06,0.9
6346e1e3309c8077a530c601,0.7
