subject_ID,age,gender,nationality,exp_part,block_number,trial_number,trial_type,delay,game1_startRT,game1_color,game1_respKey,game1_respRT,game1_outcome,game2_delay_premature,game2_startRT,game2_HP_prob,game2_HP_amount,game2_LP_prob,game2_LP_amount,game2_pos,game2_respKey,game2_respRT,game2_choice,game2_outcome,HP_EV,LP_EV,high_EV_option,choose_high_EV,EV_ratio,game1_outcome_num,delay_num,game2_choose_HP
1,45,female,british,exp,3,2,exp,yes,2177,mixed,f,1208,loss,1,837,0.6,10,0.4,40,HP-LP,f,1641,HP,no-win,6,16,LP,no,-0.9090909090909092,0.5,0.5,1
1,45,female,british,exp,3,6,exp,yes,517,mixed,f,654,win,2,745,0.7,20,0.3,30,HP-LP,f,1022,HP,win,14,9,HP,yes,0.43478260869565216,-0.5,0.5,1
1,45,female,british,exp,3,8,exp,no,552,mixed,f,764,loss,0,500,0.8,10,0.2,20,HP-LP,f,761,HP,win,8,4,HP,yes,0.6666666666666666,0.5,-0.5,1
1,45,female,british,exp,3,10,exp,yes,593,mixed,j,710,loss,1,718,0.8,10,0.2,20,LP-HP,j,705,HP,no-win,8,4,HP,yes,0.6666666666666666,0.5,0.5,1
1,45,female,british,exp,3,12,exp,yes,556,mixed,j,687,win,0,515,0.8,20,0.2,30,LP-HP,j,662,HP,win,16,6,HP,yes,0.9090909090909092,-0.5,0.5,1
1,45,female,british,exp,3,14,exp,yes,831,mixed,f,622,win,0,886,0.7,20,0.3,30,LP-HP,j,606,HP,win,14,9,HP,yes,0.43478260869565216,-0.5,0.5,1
1,45,female,british,exp,3,16,exp,yes,1025,mixed,j,485,loss,0,1036,0.7,30,0.3,40,LP-HP,j,860,HP,win,21,12,HP,yes,0.5454545454545454,0.5,0.5,1
1,45,female,british,exp,3,18,exp,no,811,mixed,f,673,loss,0,572,0.7,20,0.3,30,HP-LP,f,379,HP,win,14,9,HP,yes,0.43478260869565216,0.5,-0.5,1
1,45,female,british,exp,3,22,exp,yes,524,mixed,f,531,win,1,510,0.7,30,0.3,40,LP-HP,j,571,HP,no-win,21,12,HP,yes,0.5454545454545454,-0.5,0.5,1
1,45,female,british,exp,3,24,exp,no,1140,mixed,j,936,win,0,966,0.8,10,0.2,20,HP-LP,f,498,HP,win,8,4,HP,yes,0.6666666666666666,-0.5,-0.5,1
1,45,female,british,exp,3,26,exp,yes,464,mixed,j,759,loss,1,979,0.7,10,0.3,50,LP-HP,j,1352,HP,win,7,15,LP,no,-0.7272727272727273,0.5,0.5,1
1,45,female,british,exp,3,28,exp,yes,1633,mixed,f,631,loss,0,1255,0.6,30,0.4,50,LP-HP,f,1523,LP,no-win,18,20,LP,yes,-0.10526315789473684,0.5,0.5,0
1,45,female,british,exp,3,30,exp,no,3389,mixed,j,816,loss,0,550,0.6,40,0.4,50,HP-LP,f,1237,HP,win,24,20,HP,yes,0.18181818181818185,0.5,-0.5,1
1,45,female,british,exp,3,32,exp,no,4301,mixed,f,656,win,0,1065,0.8,20,0.2,30,HP-LP,f,879,HP,win,16,6,HP,yes,0.9090909090909092,-0.5,-0.5,1
1,45,female,british,exp,3,34,exp,no,1093,mixed,j,651,win,0,2766,0.6,40,0.4,50,LP-HP,f,1746,LP,win,24,20,HP,no,0.18181818181818185,-0.5,-0.5,0
1,45,female,british,exp,3,36,exp,no,1391,mixed,f,493,win,0,3413,0.7,30,0.3,40,LP-HP,j,1253,HP,win,21,12,HP,yes,0.5454545454545454,-0.5,-0.5,1
1,45,female,british,exp,3,38,exp,no,499,mixed,f,665,loss,0,586,0.7,10,0.3,30,HP-LP,f,873,HP,win,7,9,LP,no,-0.25,0.5,-0.5,1
1,45,female,british,exp,3,40,exp,no,1340,mixed,j,633,win,0,790,0.7,20,0.3,30,LP-HP,j,967,HP,win,14,9,HP,yes,0.43478260869565216,-0.5,-0.5,1
1,45,female,british,exp,3,44,exp,no,670,mixed,j,693,loss,1,736,0.6,30,0.4,50,HP-LP,f,1287,HP,win,18,20,LP,no,-0.10526315789473684,0.5,-0.5,1
