subject_ID,age,gender,nationality,exp_part,block_number,trial_number,trial_type,delay,game1_startRT,game1_color,game1_respKey,game1_respRT,game1_outcome,game2_delay_premature,game2_startRT,game2_HP_prob,game2_HP_amount,game2_LP_prob,game2_LP_amount,game2_pos,game2_respKey,game2_respRT,game2_choice,game2_outcome
42,21,female,Portuguese,practice_game1,1,1,practice,na,4697,mixed,j,589,win,0,0,0,0,0,0,na,na,0,na,na
42,21,female,Portuguese,practice_game1,1,2,practice,na,601,mixed,j,377,loss,0,0,0,0,0,0,na,na,0,na,na
42,21,female,Portuguese,practice_game1,1,3,practice,na,550,mixed,f,270,loss,0,0,0,0,0,0,na,na,0,na,na
42,21,female,Portuguese,practice_game1,1,4,practice,na,384,mixed,f,251,win,0,0,0,0,0,0,na,na,0,na,na
42,21,female,Portuguese,practice_game2,2,1,practice,na,0,na,na,0,na,0,1506,0.7,10,0.3,50,HP-LP,f,1682,HP,win
42,21,female,Portuguese,practice_game2,2,2,practice,na,0,na,na,0,na,0,523,0.8,10,0.2,20,HP-LP,f,703,HP,win
42,21,female,Portuguese,practice_game2,2,3,practice,na,0,na,na,0,na,0,474,0.8,20,0.2,30,HP-LP,j,547,LP,no-win
42,21,female,Portuguese,practice_game2,2,4,practice,na,0,na,na,0,na,0,432,0.6,10,0.4,40,HP-LP,f,448,HP,no-win
42,21,female,Portuguese,exp,3,2,exp,yes,2201,mixed,j,659,loss,0,665,0.7,20,0.3,30,LP-HP,j,274,HP,win
42,21,female,Portuguese,exp,3,4,exp,yes,737,mixed,f,1123,win,0,655,0.6,30,0.4,50,HP-LP,f,910,HP,no-win
42,21,female,Portuguese,exp,3,6,catch,no,733,mixed,j,548,win,0,512,0.6,40,0.2,10,LP-HP,j,925,HP,win
42,21,female,Portuguese,exp,3,8,exp,yes,740,mixed,j,916,win,0,1036,0.7,10,0.3,50,LP-HP,j,860,HP,no-win
42,21,female,Portuguese,exp,3,10,exp,no,773,mixed,f,1203,win,0,519,0.6,10,0.4,40,LP-HP,j,1662,HP,win
42,21,female,Portuguese,exp,3,12,exp,no,323,mixed,f,978,loss,0,221,0.8,20,0.2,30,LP-HP,j,846,HP,win
42,21,female,Portuguese,exp,3,14,exp,yes,768,mixed,j,2159,win,0,382,0.7,30,0.3,40,LP-HP,j,720,HP,win
42,21,female,Portuguese,exp,3,16,exp,no,194,mixed,j,686,win,0,291,0.6,10,0.4,40,HP-LP,f,1405,HP,win
42,21,female,Portuguese,exp,3,18,exp,yes,672,mixed,j,783,win,1,542,0.8,20,0.2,30,LP-HP,j,1134,HP,no-win
42,21,female,Portuguese,exp,3,20,exp,no,267,mixed,f,644,loss,0,1251,0.7,10,0.3,50,HP-LP,f,977,HP,win
42,21,female,Portuguese,exp,3,22,exp,yes,522,mixed,j,2730,win,1,431,0.6,30,0.4,50,LP-HP,j,524,HP,no-win
42,21,female,Portuguese,exp,3,24,catch,no,433,mixed,j,541,loss,0,310,0.7,40,0.4,10,LP-HP,j,628,HP,win
42,21,female,Portuguese,exp,3,26,exp,yes,468,mixed,f,1232,loss,0,1625,0.8,20,0.2,30,LP-HP,j,657,HP,win
42,21,female,Portuguese,exp,3,28,exp,yes,1517,mixed,j,888,loss,1,819,0.7,10,0.3,30,LP-HP,j,585,HP,no-win
42,21,female,Portuguese,exp,3,30,exp,no,855,mixed,j,1116,win,0,448,0.7,20,0.3,30,HP-LP,f,897,HP,win
42,21,female,Portuguese,exp,3,32,catch,no,496,mixed,j,676,loss,0,140,0.7,30,0.4,20,LP-HP,j,670,HP,win
42,21,female,Portuguese,exp,3,34,catch,no,230,mixed,f,643,win,0,290,0.6,40,0.2,10,HP-LP,f,1575,HP,win
42,21,female,Portuguese,exp,3,36,exp,no,463,mixed,j,699,loss,0,666,0.6,30,0.4,50,HP-LP,j,1696,LP,win
42,21,female,Portuguese,exp,3,38,exp,yes,583,mixed,j,1003,loss,1,271,0.8,10,0.2,20,LP-HP,j,565,HP,win
42,21,female,Portuguese,exp,3,40,exp,no,309,mixed,f,743,loss,0,503,0.6,10,0.4,40,LP-HP,f,1359,LP,no-win
42,21,female,Portuguese,exp,3,42,exp,no,2201,mixed,j,543,loss,0,2148,0.7,20,0.3,30,HP-LP,f,706,HP,win
42,21,female,Portuguese,exp,3,44,exp,yes,750,mixed,j,679,loss,1,1802,0.7,30,0.3,40,LP-HP,j,590,HP,no-win
42,21,female,Portuguese,exp,3,46,exp,yes,288,mixed,j,613,win,0,2013,0.7,30,0.3,40,HP-LP,f,1356,HP,win
42,21,female,Portuguese,exp,3,48,catch,no,1993,mixed,j,604,win,0,807,0.8,50,0.2,20,LP-HP,j,495,HP,win
42,21,female,Portuguese,exp,3,50,exp,no,564,mixed,j,827,loss,0,1965,0.6,10,0.4,40,HP-LP,j,1357,LP,no-win
42,21,female,Portuguese,exp,4,2,exp,yes,1150,mixed,j,444,loss,0,1715,0.8,20,0.2,30,HP-LP,f,507,HP,win
