subject_ID, question_number, factor, resp, rt
Charlotte,1,Perseverance,3,13884
Charlotte,2,Premeditation,2,1231
Charlotte,3,Positive Urgency,3,910
Charlotte,4,Perseverance,2,687
Charlotte,5,Premeditation,2,623
Charlotte,6,Negative Urgency,2,1023
Charlotte,7,Perseverance,3,1278
Charlotte,8,Negative Urgency,3,1087
Charlotte,9,Sensation Seeking,3,831
Charlotte,10,Positive Urgency,4,1582
Charlotte,11,Perseverance,4,1087
Charlotte,12,Premeditation,3,1279
Charlotte,13,Negative Urgency,3,2591
Charlotte,14,Sensation Seeking,3,878
Charlotte,15,Negative Urgency,3,830
Charlotte,16,Sensation Seeking,3,958
Charlotte,17,Positive Urgency,3,879
Charlotte,18,Sensation Seeking,3,1070
Charlotte,19,Premeditation,2,845
Charlotte,20,Positive Urgency,3,1022
