subject_ID,age,gender,nationality,exp_part,block_number,trial_number,trial_type,delay,game1_startRT,game1_color,game1_respKey,game1_respRT,game1_outcome,game2_delay_premature,game2_startRT,game2_HP_prob,game2_HP_amount,game2_LP_prob,game2_LP_amount,game2_pos,game2_respKey,game2_respRT,game2_choice,game2_outcome,HP_EV,LP_EV,high_EV_option,choose_high_EV,EV_ratio,game1_outcome_num,delay_num,game2_choose_HP
1,36,male,Indian,practice_game1,1,1,practice,na,1491,mixed,j,2495,loss,0,0,0,0,0,0,na,na,0,na,na,0,0,LP,no,NA,0.5,-0.5,0
1,36,male,Indian,practice_game1,1,2,practice,na,1352,mixed,f,807,win,0,0,0,0,0,0,na,na,0,na,na,0,0,LP,no,NA,-0.5,-0.5,0
1,36,male,Indian,practice_game1,1,3,practice,na,1163,mixed,f,655,loss,0,0,0,0,0,0,na,na,0,na,na,0,0,LP,no,NA,0.5,-0.5,0
1,36,male,Indian,practice_game1,1,4,practice,na,868,mixed,f,831,win,0,0,0,0,0,0,na,na,0,na,na,0,0,LP,no,NA,-0.5,-0.5,0
1,36,male,Indian,practice_game2,2,1,practice,na,0,na,na,0,na,0,1855,0.7,10,0.3,50,LP-HP,f,3079,LP,win,7,15,LP,yes,-0.7272727272727273,-0.5,-0.5,0
1,36,male,Indian,practice_game2,2,2,practice,na,0,na,na,0,na,0,2380,0.8,10,0.2,20,HP-LP,f,2511,HP,win,8,4,HP,yes,0.6666666666666666,-0.5,-0.5,1
1,36,male,Indian,practice_game2,2,3,practice,na,0,na,na,0,na,0,3984,0.8,20,0.2,30,HP-LP,f,2254,HP,win,16,6,HP,yes,0.9090909090909091,-0.5,-0.5,1
1,36,male,Indian,practice_game2,2,4,practice,na,0,na,na,0,na,0,3793,0.6,10,0.4,40,LP-HP,f,2519,LP,win,6,16,LP,yes,-0.9090909090909091,-0.5,-0.5,0
1,36,male,Indian,practice_game2,2,5,practice,na,0,na,na,0,na,0,3224,0.8,50,0.4,20,HP-LP,f,3736,HP,win,40,8,HP,yes,1.3333333333333333,-0.5,-0.5,1
1,36,male,Indian,exp,3,2,exp,no,3006,mixed,f,887,win,0,1241,0.6,20,0.4,50,LP-HP,f,2711,LP,win,12,20,LP,yes,-0.5,-0.5,-0.5,0
1,36,male,Indian,exp,3,4,catch,yes,1101,mixed,j,1024,loss,0,952,0.7,30,0.3,10,LP-HP,j,1335,HP,win,21,3,HP,yes,1.5,0.5,0.5,1
1,36,male,Indian,exp,3,6,exp,no,813,mixed,f,1455,win,0,1192,0.7,30,0.3,40,HP-LP,j,2007,LP,win,21,12,HP,no,0.5454545454545454,-0.5,-0.5,0
1,36,male,Indian,exp,3,8,exp,yes,1595,mixed,j,1303,loss,0,633,0.6,40,0.4,50,LP-HP,f,2031,LP,no-win,24,20,HP,no,0.18181818181818182,0.5,0.5,0
1,36,male,Indian,exp,3,10,catch,yes,1093,mixed,f,1759,win,0,1218,0.8,0,0.3,20,HP-LP,j,1519,LP,win,0,6,LP,yes,-2,-0.5,0.5,0
1,36,male,Indian,exp,3,12,exp,no,989,mixed,j,1400,loss,0,1361,0.7,10,0.3,30,HP-LP,f,1687,HP,win,7,9,LP,no,-0.25,0.5,-0.5,1
1,36,male,Indian,exp,3,14,exp,yes,1028,mixed,j,1159,loss,0,992,0.6,20,0.4,50,LP-HP,f,1455,LP,win,12,20,LP,yes,-0.5,0.5,0.5,0
1,36,male,Indian,exp,3,16,exp,no,1341,mixed,j,1127,win,0,977,0.8,10,0.2,20,LP-HP,j,1527,HP,win,8,4,HP,yes,0.6666666666666666,-0.5,-0.5,1
1,36,male,Indian,exp,3,18,exp,yes,877,mixed,f,1631,win,1,943,0.6,10,0.4,40,LP-HP,f,1623,LP,win,6,16,LP,yes,-0.9090909090909091,-0.5,0.5,0
1,36,male,Indian,exp,3,20,exp,no,1379,mixed,j,1095,loss,0,2016,0.6,20,0.4,50,LP-HP,j,1015,HP,win,12,20,LP,no,-0.5,0.5,-0.5,1
1,36,male,Indian,exp,3,22,exp,yes,1021,mixed,f,943,loss,1,801,0.7,20,0.3,30,HP-LP,f,1462,HP,win,14,9,HP,yes,0.43478260869565216,0.5,0.5,1
1,36,male,Indian,exp,3,24,catch,yes,1601,mixed,j,1399,win,0,1593,0.8,50,0.2,30,HP-LP,f,1166,HP,win,40,6,HP,yes,1.4782608695652173,-0.5,0.5,1
1,36,male,Indian,exp,3,26,exp,no,3533,mixed,f,1152,win,0,934,0.6,30,0.4,50,LP-HP,f,1847,LP,no-win,18,20,LP,yes,-0.10526315789473684,-0.5,-0.5,0
1,36,male,Indian,exp,3,28,catch,yes,1245,mixed,j,1183,loss,0,808,0.8,50,0.2,30,LP-HP,j,1967,HP,win,40,6,HP,yes,1.4782608695652173,0.5,0.5,1
