subject_ID, block_number, trial_number, phase, response_number, key, rt
Charlotte,2,4,delay,1,space,1132
Charlotte,2,4,delay,2,space,2701
Charlotte,3,3,delay,1,space,1676
Charlotte,3,7,delay,1,space,1017
Charlotte,3,27,delay,1,space,200
Charlotte,3,33,delay,1,j,69
Charlotte,3,35,delay,1,space,291
Charlotte,3,37,delay,1,space,418
Charlotte,3,37,delay,2,j,929
Charlotte,3,39,delay,1,space,2870
Charlotte,3,51,delay,1,space,682
Charlotte,3,51,delay,2,space,1673
Charlotte,3,51,delay,3,j,2251
Charlotte,4,1,delay,1,space,2225
Charlotte,4,1,delay,2,j,2898
Charlotte,4,3,delay,1,j,975
Charlotte,4,3,delay,2,space,1550
Charlotte,4,5,delay,1,space,905
Charlotte,4,5,delay,2,space,1705
Charlotte,4,5,delay,3,j,2073
Charlotte,4,9,delay,1,space,462
Charlotte,4,9,delay,2,space,1103
Charlotte,4,9,delay,3,j,2559
Charlotte,4,11,delay,1,j,286
Charlotte,4,11,delay,2,space,2222
Charlotte,4,11,delay,3,j,2684
Charlotte,4,17,delay,1,j,645
Charlotte,4,17,delay,2,space,2453
Charlotte,4,21,delay,1,space,2748
Charlotte,4,21,delay,2,j,2973
Charlotte,4,23,delay,1,j,296
Charlotte,4,27,delay,1,space,34
Charlotte,4,29,delay,1,space,899
Charlotte,4,29,delay,2,j,1333
Charlotte,4,31,delay,1,space,749
Charlotte,4,31,delay,2,j,1725
Charlotte,4,33,delay,1,space,242
Charlotte,4,35,delay,1,j,307
Charlotte,4,37,delay,1,space,212
Charlotte,4,37,delay,2,j,723
Charlotte,4,39,delay,1,space,499
Charlotte,4,39,delay,2,j,948
Charlotte,4,41,delay,1,space,406
Charlotte,4,41,delay,2,j,854
Charlotte,4,49,delay,1,space,857
Charlotte,4,49,delay,2,j,1465
Charlotte,5,1,delay,1,j,176
Charlotte,5,1,delay,2,space,800
Charlotte,5,1,delay,3,j,1138
Charlotte,5,1,delay,4,space,1714
Charlotte,5,1,delay,5,j,2274
Charlotte,5,7,delay,1,space,1038
Charlotte,5,7,delay,2,j,1728
Charlotte,5,11,delay,1,j,93
Charlotte,5,13,delay,1,space,350
Charlotte,5,13,delay,2,j,733
Charlotte,5,13,delay,3,space,1518
Charlotte,5,13,delay,4,j,1982
Charlotte,5,13,delay,5,space,2462
Charlotte,5,13,delay,6,j,2847
Charlotte,5,19,delay,1,space,2067
Charlotte,5,19,delay,2,j,2900
Charlotte,5,21,delay,1,j,127
Charlotte,5,21,delay,2,space,929
Charlotte,5,21,delay,3,j,1409
Charlotte,5,21,delay,4,j,2161
Charlotte,5,21,delay,5,space,2994
Charlotte,5,25,delay,1,space,237
Charlotte,5,29,delay,1,space,224
Charlotte,5,29,delay,2,j,815
Charlotte,5,29,delay,3,space,1632
Charlotte,5,29,delay,4,j,2080
Charlotte,5,35,delay,1,space,1497
Charlotte,5,35,delay,2,j,1814
Charlotte,5,35,delay,3,space,2217
Charlotte,5,37,delay,1,space,412
Charlotte,5,37,delay,2,j,1418
Charlotte,5,41,delay,1,space,1301
Charlotte,5,43,delay,1,space,450
Charlotte,5,43,delay,2,space,2241
Charlotte,5,43,delay,3,space,2769
Charlotte,5,47,delay,1,space,32
Charlotte,5,47,delay,2,j,433
Charlotte,5,47,delay,3,space,2000
Charlotte,5,47,delay,4,j,2641
Charlotte,6,1,delay,1,j,379
Charlotte,6,1,delay,2,space,2108
Charlotte,6,3,delay,1,space,639
Charlotte,6,3,delay,2,j,2078
Charlotte,6,9,delay,1,j,455
Charlotte,6,9,delay,2,j,1689
Charlotte,6,15,delay,1,space,2299
Charlotte,6,17,delay,1,j,32
Charlotte,6,17,delay,2,space,2094
Charlotte,6,17,delay,3,j,2479
Charlotte,6,19,delay,1,space,149
Charlotte,6,21,delay,1,j,229
Charlotte,6,21,delay,2,space,725
Charlotte,6,21,delay,3,space,1734
Charlotte,6,21,delay,4,j,2214
Charlotte,6,23,delay,1,space,147
Charlotte,6,25,delay,1,space,358
Charlotte,6,25,delay,2,j,1267
Charlotte,6,25,delay,3,space,2308
Charlotte,6,35,delay,1,space,33
Charlotte,6,35,delay,2,space,930
Charlotte,6,35,delay,3,j,2546
Charlotte,6,37,delay,1,j,521
Charlotte,6,41,delay,1,j,24
Charlotte,6,43,delay,1,j,494
Charlotte,6,43,delay,2,space,2893
Charlotte,6,49,delay,1,space,29
Charlotte,6,49,delay,2,j,476
Charlotte,6,51,delay,1,space,2430
Charlotte,6,51,delay,2,j,2798
