subject_ID,question_number,factor,resp,rt
217,1,Perseverance,2,5765.899999976158
217,2,Premeditation,1,3110.1999999284744
217,3,Positive Urgency,2,4836
217,4,Perseverance,1,2967.2999999523163
217,5,Premeditation,1,3392.7999999523163
217,6,Negative Urgency,2,5793
217,7,Perseverance,2,4088.7999999523163
217,8,Negative Urgency,4,5406.5
217,9,Sensation Seeking,1,4591.399999976158
217,10,Positive Urgency,1,4809.700000047684
217,11,Perseverance,1,2115.2999999523163
217,12,Premeditation,1,3946.7000000476837
217,13,Negative Urgency,1,3985.399999976158
217,14,Sensation Seeking,1,4695.299999952316
217,15,Negative Urgency,1,3856.5
217,16,Sensation Seeking,4,4208.300000071526
217,17,Positive Urgency,1,5620.5
217,18,Sensation Seeking,1,3663.2999999523163
217,19,Premeditation,1,2837
217,20,Positive Urgency,1,2734.100000023842
